Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
L1215-Control2-Soni-20190903_S1_L001_R1_001	L1215-Control2-Soni-20190903_S1_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	15209545.0	0.0	35-76	48.0	58.81536529984023	75.2529953394398	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass	fail
L1215-Control2-Soni-20190903_S1_L001_R2_001	L1215-Control2-Soni-20190903_S1_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	15209545.0	0.0	35-76	47.0	59.440526887199375	75.17982727293946	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass	fail
L1215-Control2-Soni-20190903_S1_L002_R1_001	L1215-Control2-Soni-20190903_S1_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	15247501.0	0.0	35-76	48.0	59.890573385394354	75.25601874038244	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass	fail
L1215-Control2-Soni-20190903_S1_L002_R2_001	L1215-Control2-Soni-20190903_S1_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	15247501.0	0.0	35-76	48.0	59.46967699092141	75.18562628721914	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass	fail
L1215-Control2-Soni-20190903_S1_L003_R1_001	L1215-Control2-Soni-20190903_S1_L003_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	14672495.0	0.0	35-76	48.0	63.18504710295814	75.25483014306701	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass	fail
L1215-Control2-Soni-20190903_S1_L003_R2_001	L1215-Control2-Soni-20190903_S1_L003_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	14672495.0	0.0	35-76	47.0	61.140959025110334	75.17936922111747	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass	fail
L1215-Control2-Soni-20190903_S1_L004_R1_001	L1215-Control2-Soni-20190903_S1_L004_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	14673611.0	0.0	35-76	48.0	61.59107070769908	75.25667560629759	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass	fail
L1215-Control2-Soni-20190903_S1_L004_R2_001	L1215-Control2-Soni-20190903_S1_L004_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	14673611.0	0.0	35-76	48.0	61.4564349100449	75.18605870088828	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L001_R1_001	L1216-Plasma1hr2-Soni-20190903_S2_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8958226.0	0.0	35-76	48.0	60.18991911106683	75.46893983250702	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L001_R2_001	L1216-Plasma1hr2-Soni-20190903_S2_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8958226.0	0.0	35-76	48.0	63.95311559106855	75.42066911462157	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L002_R1_001	L1216-Plasma1hr2-Soni-20190903_S2_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	9091843.0	0.0	35-76	48.0	61.77858767366599	75.47165794657914	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L002_R2_001	L1216-Plasma1hr2-Soni-20190903_S2_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	9091843.0	0.0	35-76	48.0	64.7710933116739	75.42365568785118	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L003_R1_001	L1216-Plasma1hr2-Soni-20190903_S2_L003_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8637209.0	0.0	35-76	48.0	65.08779284269484	75.4705981990247	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L003_R2_001	L1216-Plasma1hr2-Soni-20190903_S2_L003_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8637209.0	0.0	35-76	48.0	66.55938142512986	75.41913597320615	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L004_R1_001	L1216-Plasma1hr2-Soni-20190903_S2_L004_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8733975.0	0.0	35-76	48.0	63.10420669475694	75.47345086286599	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass	fail
L1216-Plasma1hr2-Soni-20190903_S2_L004_R2_001	L1216-Plasma1hr2-Soni-20190903_S2_L004_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8733975.0	0.0	35-76	48.0	66.48986590409737	75.424138150155	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L001_R1_001	L1217-Plasma24hr1-Soni-20190903_S3_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8627771.0	0.0	35-76	46.0	69.68395238646082	75.48224877549485	pass	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L001_R2_001	L1217-Plasma24hr1-Soni-20190903_S3_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8627771.0	0.0	35-76	46.0	72.21590439931668	75.42189761411146	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L002_R1_001	L1217-Plasma24hr1-Soni-20190903_S3_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8755069.0	0.0	35-76	46.0	71.35512763636281	75.48588309241195	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L002_R2_001	L1217-Plasma24hr1-Soni-20190903_S3_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8755069.0	0.0	35-76	46.0	72.87282607195931	75.42460213620247	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L003_R1_001	L1217-Plasma24hr1-Soni-20190903_S3_L003_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8287316.0	0.0	35-76	46.0	74.6623135407051	75.48393400227529	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L003_R2_001	L1217-Plasma24hr1-Soni-20190903_S3_L003_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8287316.0	0.0	35-76	46.0	75.19727326291444	75.41962608883262	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L004_R1_001	L1217-Plasma24hr1-Soni-20190903_S3_L004_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8390987.0	0.0	35-76	46.0	72.87436404960457	75.48736412057366	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1217-Plasma24hr1-Soni-20190903_S3_L004_R2_001	L1217-Plasma24hr1-Soni-20190903_S3_L004_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	8390987.0	0.0	35-76	46.0	74.96945052652492	75.42640311562872	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L001_R1_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7266500.0	0.0	35-76	46.0	70.05819747785654	75.51375669166724	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L001_R2_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7266500.0	0.0	35-76	46.0	74.73923040659841	75.45519410995665	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L002_R1_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7375648.0	0.0	35-76	46.0	71.38587544154997	75.51634568244037	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L002_R2_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7375648.0	0.0	35-76	46.0	75.14231273729578	75.45656693486457	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L003_R1_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L003_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7009603.0	0.0	35-76	46.0	75.27137575454357	75.51432598964593	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L003_R2_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L003_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7009603.0	0.0	35-76	46.0	77.56767838260447	75.45160317923853	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L004_R1_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L004_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7064783.0	0.0	35-76	46.0	73.50616531464155	75.51629866055333	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	fail
L1218-Plasma48hrTMZ2-Soni-20190903_S4_L004_R2_001	L1218-Plasma48hrTMZ2-Soni-20190903_S4_L004_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	7064783.0	0.0	35-76	46.0	77.33418302557318	75.45586651422981	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass	fail
Undetermined_S0_L001_R1_001	Undetermined_S0_L001_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1228136.0	0.0	35-76	45.0	77.37427924166161	75.44925887686706	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	fail
Undetermined_S0_L001_R2_001	Undetermined_S0_L001_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1228136.0	0.0	35-76	46.0	79.65588749437863	75.35509422409244	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	warn
Undetermined_S0_L002_R1_001	Undetermined_S0_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1392247.0	0.0	35-76	46.0	77.00273599611927	75.4556497518041	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	fail
Undetermined_S0_L002_R2_001	Undetermined_S0_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1392247.0	0.0	35-76	47.0	78.68848198990676	75.40616068844106	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	fail
Undetermined_S0_L003_R1_001	Undetermined_S0_L003_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1335650.0	0.0	35-76	49.0	76.81430388155172	75.49221951858645	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	fail
Undetermined_S0_L003_R2_001	Undetermined_S0_L003_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1335650.0	0.0	35-76	50.0	79.12522930398215	75.45442818103545	pass	pass	pass	warn	fail	fail	pass	warn	pass	fail	pass	fail
Undetermined_S0_L004_R1_001	Undetermined_S0_L004_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1496668.0	0.0	35-76	50.0	74.07759568870085	75.49981158145961	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass	fail
Undetermined_S0_L004_R2_001	Undetermined_S0_L004_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	1496668.0	0.0	35-76	51.0	77.19803985273388	75.46419847287441	pass	pass	pass	warn	fail	fail	pass	warn	pass	fail	pass	warn
