Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Control2_ForwardPaired_Lane1	43.44536803038424	47.0	57.78356308489176	16.666666666666664	15209545.0
Control2_ForwardPaired_Lane2	41.94030972239121	47.0	57.78562736280522	16.666666666666664	15247501.0
Control2_ForwardPaired_Lane3	37.696074659551435	47.0	57.78516469080412	16.666666666666664	14672495.0
Control2_ForwardPaired_Lane4	39.80020165011629	47.0	57.786566714900644	8.333333333333332	14673611.0
Plasma1hr2_ForwardPaired_Lane1	40.80142873929123	47.0	57.93294375471215	8.333333333333332	8958226.0
Plasma1hr2_ForwardPaired_Lane2	38.73535658303931	47.0	57.934836204276735	8.333333333333332	9091843.0
Plasma1hr2_ForwardPaired_Lane3	34.60617475767748	47.0	57.93441527234087	8.333333333333332	8637209.0
Plasma1hr2_ForwardPaired_Lane4	37.124987094138525	47.0	57.936596337864486	8.333333333333332	8733975.0
Plasma24hr1_ForwardPaired_Lane1	31.78460188823172	45.0	57.95289200420363	8.333333333333332	8627771.0
Plasma24hr1_ForwardPaired_Lane2	29.58186794576622	46.0	57.95496163422584	8.333333333333332	8755069.0
Plasma24hr1_ForwardPaired_Lane3	25.356175285555437	46.0	57.95378877793486	8.333333333333332	8287316.0
Plasma24hr1_ForwardPaired_Lane4	27.842373422828672	46.0	57.95626891091596	8.333333333333332	8390987.0
Plasma48hrTMZ2_ForwardPaired_Lane1	31.319528298355692	45.0	57.97714346659327	8.333333333333332	7266500.0
Plasma48hrTMZ2_ForwardPaired_Lane2	29.277057833666092	45.0	57.97818374738057	8.333333333333332	7375648.0
Plasma48hrTMZ2_ForwardPaired_Lane3	24.550779723165434	45.0	57.978176082154725	8.333333333333332	7009603.0
Plasma48hrTMZ2_ForwardPaired_Lane4	26.892761565400548	45.0	57.97925498914829	8.333333333333332	7064783.0
